文本,文本1
How do you format code in Visual Studio Code (VSCode)?,"
                    
            
        
            
                    
                        
                    
                
                    
                        This question's answers are a community effort. Edit existing answers to improve this post. It is not currently accepting new answers or interactions.
                        
                    
                
            
        


    

What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?
    "
How do I hide certain files from the sidebar in Visual Studio Code?,"
                
In Visual Studio Code, what setting can be configured, using file patterns, to hide files from view in the sidebar's file-explorer?
I would like to hide certain groups of files, like .meta and .git files.
    "
Run / Open VSCode from Mac Terminal,"
                
I'd like to run / open Visual Studio Code from the Mac OSX Terminal by running this command code ..  I found instructions here:

https://code.visualstudio.com/Docs/setup

Apparently I need to include this in my .bashrc file, so I did, but to no avail.

code () {
    if [[ $# = 0 ]]
    then
        open -a ""Visual Studio Code""
    else
        [[ $1 = /* ]] && F=""$1"" || F=""$PWD/${1#./}""
        open -a ""Visual Studio Code"" --args ""$F""
    fi
}


I edited the .bashrc file here:

~/.bashrc which points to /Users/username/.bashrc

Which .bashrc should I be editing?
    "
VSCode regex find & replace submatch math?,"
                
%s@{fileID: \(213[0-9]*\)@\='{fileID: '.(submatch(1)-1900)@


I am using this regex search and replace command in vim to subtract a constant from each matching id.

I can do the regex find in VSCode but how can I reference the submatch for maths & replace? submatch(1) does not work in VSCode?

Thanks.
    "
Should I commit the .vscode folder to source control?,"
                
Is the .vscode folder meant to be committed to source control? 

In a fresh project, the folder is empty, except the settings.json file. What kind of things would go into this folder? Is it machine-specific, developer-specific like the .vs folder and thus not be committed? Or should all developers share this folder and thus it should be committed?

The comment at the top of the file .vscode/settings.json states:

// Place your settings in this file to overwrite default and user settings.
{
}


This seems to imply that the folder should contain project-specific settings and thus be included in source. Also, this post on UserVoice seems to imply some typings would go in there, also suggesting that it should be committed. 
    "
Select all occurrences of selected word in VSCode,"
                
Are there any trick or extension to select all instances of selected word in visual studio code, to facilitate editing or deleting those instances without search and replace, like ِAlt+F3 in sublime text
    "
What is a 'workspace' in Visual Studio Code?,"
                
For example, Visual Studio Code talks about applying settings at the user level vs the workspace level.
On the one hand,

it could refer to a project directory that you have opened; or
it could refer to everything you have opened in a particular window.

The page referenced above says

""Workspace: These settings are stored inside your workspace
in a .vscode folder and only apply when the workspace is opened.""

    "
Choose folders to be ignored during search in VS Code,"
                
Right now when I use ⌘+O to search for files, the fuzzy matching appears to operate over all files in the current project. Unfortunately, this includes a number of files from build and vendor directories. So, for instance, if I want to search for all JavaScript files and do ⌘+O and type .js in, the file and symbol results include around 1500 hits and all of them except the two ones are complete noise.

Is there a way to specify certain directories to be ignored for purpose of search?
    "
How to restart VScode after editing extension's config?,"
                
VScode notifies you when you open a config of an extension:

remember to Restart VScode


But it says nothing about how. They use capital letter for the restart word, so normally it should mean something if you emphasize an appellation. Is there some hidden restart button or a key shortcut?
How do I restart the IDE?
    "
How do I press and hold a key and have it repeat in VSCode?,"
                
I use the vim plugin and I typically scroll in vim by just holding j. In VSCode holding j just does a single j command, no matter how long it's held for. 

Even in vanilla vscode this also doesn't work - problematic if you're trying to type long blocks of ########################### for comment separators. Any idea how to enable this functionality? 
    "
